
2025/01/15 (02:44:57) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/01/15 (02:44:57) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/01/15 (02:44:57) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/01/15 (02:44:57) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/01/15 (02:44:57) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/01/15 (02:46:43) | ===> btop++ v.1.4.0
2025/01/15 (02:46:43) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/01/15 (02:46:43) | WARNING: ROCm SMI: Failed to get PCIe throughput
2025/01/15 (02:46:43) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/01/15 (02:46:43) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/01/15 (02:46:43) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/01/15 (02:46:43) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/01/15 (02:46:43) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/01/15 (02:49:32) | ===> btop++ v.1.4.0
2025/01/15 (02:49:32) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/01/15 (02:49:32) | WARNING: ROCm SMI: Failed to get PCIe throughput
2025/01/15 (02:49:32) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/01/15 (02:49:32) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/01/15 (02:49:32) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/01/15 (02:49:32) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/01/15 (02:49:32) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/01/15 (03:04:33) | ===> btop++ v.1.4.0
2025/01/15 (03:04:33) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/01/15 (03:04:33) | WARNING: ROCm SMI: Failed to get PCIe throughput
2025/01/15 (03:04:33) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/01/15 (03:04:33) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/01/15 (03:04:33) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/01/15 (03:04:33) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/01/15 (03:04:33) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/01/15 (03:19:29) | ===> btop++ v.1.4.0
2025/01/15 (03:19:29) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/01/15 (03:19:29) | WARNING: ROCm SMI: Failed to get PCIe throughput
2025/01/15 (03:19:29) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/01/15 (03:19:29) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/01/15 (03:19:29) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/01/15 (03:19:29) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/01/15 (03:19:29) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/01/15 (03:40:03) | ===> btop++ v.1.4.0
2025/01/15 (03:40:03) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/01/15 (03:40:03) | WARNING: ROCm SMI: Failed to get PCIe throughput
2025/01/15 (03:40:03) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/01/15 (03:40:03) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/01/15 (03:40:03) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/01/15 (03:40:03) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/01/15 (03:40:03) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/01/15 (01:03:01) | ===> btop++ v.1.4.0
2025/01/15 (01:03:01) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/01/15 (01:03:01) | WARNING: ROCm SMI: Failed to get PCIe throughput
2025/01/15 (01:03:01) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/01/15 (01:03:01) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/01/15 (01:03:01) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/01/15 (01:03:01) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/01/15 (01:03:01) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/01/16 (22:40:57) | ===> btop++ v.1.4.0
2025/01/16 (22:40:57) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/01/16 (22:40:57) | WARNING: ROCm SMI: Failed to get PCIe throughput
2025/01/16 (22:40:57) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/01/16 (22:40:57) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/01/16 (22:40:57) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/01/16 (22:40:57) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/01/16 (22:40:57) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/01/17 (18:47:57) | ===> btop++ v.1.4.0
2025/01/17 (18:47:57) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/01/17 (18:47:57) | WARNING: ROCm SMI: Failed to get PCIe throughput
2025/01/17 (18:47:57) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/01/17 (18:47:57) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/01/17 (18:47:57) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/01/17 (18:47:57) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/01/17 (18:47:57) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/01/18 (12:14:17) | ===> btop++ v.1.4.0
2025/01/18 (12:14:17) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/01/18 (12:14:17) | WARNING: ROCm SMI: Failed to get PCIe throughput
2025/01/18 (12:14:17) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/01/18 (12:14:17) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/01/18 (12:14:17) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/01/18 (12:14:17) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/01/18 (12:14:17) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/01/19 (15:32:47) | ===> btop++ v.1.4.0
2025/01/19 (15:32:47) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/01/19 (15:32:47) | WARNING: ROCm SMI: Failed to get PCIe throughput
2025/01/19 (15:32:47) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/01/19 (15:32:47) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/01/19 (15:32:47) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/01/19 (15:32:47) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/01/19 (15:32:47) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/01/24 (13:30:11) | ===> btop++ v.1.4.0
2025/01/24 (13:30:11) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/01/24 (13:30:11) | WARNING: ROCm SMI: Failed to get PCIe throughput
2025/01/24 (13:30:11) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/01/24 (13:30:11) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/01/24 (13:30:11) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/01/24 (13:30:11) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/01/24 (13:30:11) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/01/24 (19:22:51) | ===> btop++ v.1.4.0
2025/01/24 (19:22:51) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/01/24 (19:22:51) | WARNING: ROCm SMI: Failed to get PCIe throughput
2025/01/24 (19:22:51) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/01/24 (19:22:51) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/01/24 (19:22:51) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/01/24 (19:22:51) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/01/24 (19:22:51) | WARNING: ROCm SMI: Failed to get PCIe throughput
